ID,HISTORY,RATING
5001711,X000,good
5001712,CCCCCCCCC0000000000,good
5001713,XXXXXXXXXXXXXXXXXXXXXX,good
5001714,XXXXXXXXXXXXXXX,good
5001715,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001717,CCCCC00000000000000000,good
5001718,CCC000001X0X1X0XXX000X000000X0X0000000X,moderate
5001719,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00,good
5001720,100110110000010100000000000000000000,moderate
5001723,XXXXXXXXXXXXXXXXXXXXXX00000000X,good
5001724,CCCCCCCCCCCCCCCCCCCCCCXXXXXXXXX,good
5001725,0000000X,good
5001726,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000,good
5001728,0,good
5001729,C000000,good
5001730,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000,good
5001731,XXXXXXXXXXX,good
5001732,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001733,XXXXXXXXXXX,good
5001734,000,good
5001735,CCCCCCCCCCCCCCCCCCCCCCC0,good
5001736,CCCCCCCCCCCCCCCCCCCC0000,good
5001737,CCCCCCCCCC000000000000,good
5001738,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000000000,good
5001739,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000000000,good
5001742,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000X000000,good
5001743,CCCCCCCCCCCCCCCCCCCCCCCCCCXXXXXXXXX0XXXXX,good
5001744,CCCCCCCCCCCCCCCCCCCCCCCC00000,good
5001745,X0000000000,good
5001746,X00000000000,good
5001747,CCCCCCCCCCCC0000000000000000,good
5001748,CCCCCCCCCCCCCCCCCCCCCCCCCCCC000000,good
5001754,XXXXXXXXXX0X,good
5001755,CCCCCC00000,good
5001756,CCCCCCCCCCCCCCCCXX0,good
5001757,0001X0000X0X0X00XX00X,moderate
5001758,XXXXXXXXXXXXXXXXXXXXXXX000000000000000000000000,good
5001759,CCCC000000000000000X,good
5001760,CCCCCCCCCCCCCCCCCCCCCCCC000000,good
5001765,CCCCCCCCCCCCCCCCCCCCCCCCCC000000,good
5001766,CCCCCCCCCCCCCCCCCCCCCCCCC0,good
5001767,XXXXXXXXXXXXX00,good
5001768,X0000000,good
5001769,XXXXXX00000000000,good
5001770,XXXXXX00000000000,good
5001771,X00000000000000,good
5001772,00000000000000000000000,good
5001773,CCCCCCC00000000000000000,good
5001774,CCCCCCCCCCCCCCCCCCCCCCCCC00,good
5001775,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000,good
5001778,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001779,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001780,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001782,000000,good
5001783,0000000X0XX00X0X00X0,good
5001784,000XX0000000X0,good
5001785,000000XXXXXXXX,good
5001786,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC100000000000000000000,moderate
5001787,XXXXXXXXXXXXXXXXX,good
5001788,XXXXXXXXXXXXXXXXX,good
5001789,CCCCCCCCCCCCCCCCCCCCCCXXXXXXXXXXX,good
5001790,CCCCCCC000000000000X,good
5001791,X0000000000000000000000X,good
5001792,X011000010000000000000000,moderate
5001793,110111110000000000000000000,moderate
5001794,CCCCCCCCCCCCCCCCCCCCCCCCCCC000000000,good
5001795,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001796,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001798,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000XX0,good
5001800,0000,good
5001803,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001804,CCCC000000,good
5001805,CCCCCCCCCCCCCCCCCCC0000,good
5001806,CCCCCCCCCCCCCCCCCCCCCCC000000000000,good
5001807,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000000000,good
5001808,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000000000,good
5001812,00000000000000000000000,good
5001813,XXXXXXXXXXXX,good
5001816,1000000X0000,moderate
5001817,X110X00X00X,moderate
5001818,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000XXXX,good
5001819,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001820,CCCCCCCCCC00,good
5001821,XXXX00X0X,good
5001823,00000000,good
5001824,0000000000000000000000000000000000000,good
5001825,X000,good
5001827,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001828,000000000,good
5001829,XXXX00X0000000000X0XXXXXXXX0,good
5001830,CCCCCCCCC0,good
5001831,00000000000000000000000,good
5001832,CCCCCCCCCCCCCCCCCCCCCCC00000,good
5001833,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000,good
5001836,110000000XX00X0X0X00X000XXX0X00000X00X,moderate
5001837,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000000000000,good
5001838,000000000000000000000000000000000000000,good
5001839,CCCCCCC000000000,good
5001840,CCCC0000000000000000,good
5001841,CCCCCCCCCCCCCCCC00,good
5001842,0000X0X00000XXXXXXX0XX,good
5001843,CCCCCCCCCCCCCCCCCCC0X00000XX,good
5001844,CCCCCCCCCCCCCCCCX0X00X1000X0X0X00XX000X0X0X00X00,moderate
5001846,X0X000X00X0X00X0,good
5001847,00XXXXXXXXXXXX00000X000X000000000000X0X,good
5001848,0000000000010X00000X00XX000000000000XX,moderate
5001849,CC0000000,good
5001850,C0000000000,good
5001851,CCCCCCCCCCC0,good
5001852,CCCCCCCCCCCCC00,good
5001853,CCCCCCCCC00000000,good
5001854,CCCCCCCCCCCCCCCC000,good
5001855,CCCCCCCCCCCCCCCCCCCC000,good
5001856,CCCCCCCCCCCCCCCCCCCCCCCCCCC100,moderate
5001857,000000000000000000000000000000000XXXXX,good
5001858,CCCCCCCCCCCCCCCCCCCC000000000000,good
5001859,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000,good
5001860,XX,good
5001861,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001862,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001863,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001864,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001867,CCCCCCCCC0,good
5001870,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001871,XXXXXXXXXXXXXX,good
5001872,0,good
5001873,X0000000000X0000000000000XX0000000,good
5001874,X0000000000X0000000000000XX000,good
5001875,XXXXXXXXXXXXXXXX,good
5001876,00000000000000000000,good
5001877,0000000000000000,good
5001879,XXXXXXX,good
5001882,CCCC0,good
5001883,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000000000,good
5001886,00000000,good
5001887,00,good
5001888,000000000000000000110000000000000000000000000000000000X,moderate
5001889,00000000000000000000000000000000000000000,good
5001890,CCCCCCCCCCCCCCCCCCC000000,good
5001891,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000000X,good
5001892,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCXXXX,good
5001893,XXXXXX00XX0XXXX,good
5001894,XXXXXXXXXXXXXXXXXXXX0X0XXXXXXXXXXXXXXXXXXXXX0000000,good
5001895,CCCCCCCCCCCCCCCCCCCCCCCCCCC000000X,good
5001896,CCCCCCCCC0001000,moderate
5001897,000X,good
5001898,CCCC00000XX00X0X0XXXXXX000X,good
5001899,XXXXXXXXXXXXXXXXXXXXXXX0XXX0XXX0XXXXXXXXXX,good
5001900,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000000000000,good
5001901,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCXX0000X00XXXXX,good
5001902,X000,good
5001904,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0XXXXXXXXXXXXXXX,good
5001905,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000000000XX,good
5001906,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000000000,good
5001907,X000X,good
5001908,0,good
5001909,0,good
5001910,CC0,good
5001911,CCCC0,good
5001912,CCCCCC,good
5001913,CCCCCCCCCCX,good
5001914,CCCCCCCCCCC0,good
5001915,XXXXXXXXX0X,good
5001916,XXXXXXXXXX0,good
5001917,XXXXXXXXXX0,good
5001918,CCCC11110000000,moderate
5001919,CCCCCCCCCCCCCCC00000,good
5001920,0000000000000000,good
5001921,CCCCCCCCX00X000X0X00,good
5001922,CCCCCCCCCCCCCCCCCCC0XX01X0X0XXX000XX,moderate
5001923,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1101000000,moderate
5001924,0XX,good
5001925,X0X,good
5001926,0010X00X,moderate
5001927,00100XX0XXXX0X0X0X00XX01X0X0XXX0XXX000X0X0X00X0,moderate
5001931,XXXXXX00000X,good
5001932,XXXXXX0000000000000000000000X00,good
5001933,CCCCCCCCCCCCCCCCCCCCCCCCCCC10,moderate
5001936,CCCCCCCCCCCCCCC00000000000000000000000000,good
5001940,CCCCCCCCCCC00000000000000000000,good
5001941,CCCCCCCCCCCCCCCCCCCCCCCC000000000000000000000000000000000000,good
5001942,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000000000,good
5001943,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0X0X0XX00X00000XXX,good
5001944,000000000000000000000000,good
5001945,00000000000,good
5001946,000000000000000000000000,good
5001947,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000000,good
5001948,00000000000000000000000000000000000000000000000000000000000,good
5001949,XXXXXXXXXXXXXXXXXXXXXX,good
5001950,XXXXXXXXXXX,good
5001951,CC0XXXX00XXX0000000000,good
5001952,CCCCCCCCC00000000,good
5001953,CCCCCCCCC00000000,good
5001954,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0,good
5001956,CCCC0000000000X,good
5001957,00000000000000000,good
5001958,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0,good
5001959,0100000X0XXX0X0X0XXXXXX0XXX0XXXX000X0X,moderate
5001960,X000X00X0XX00X0X00X00XX0XXX0XXX,good
5001961,0000000X000X,good
5001962,XXXXX0XXXXXX,good
5001963,XXXXX0XXXXXX,good
5001964,X000000000000000,good
5001965,CCCCCCCCCCCCCCCCCCCCCCC000000000000000,good
5001966,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000000000,good
5001967,CCCCCCCCCCCCCCCCCCCCCX00000000000X,good
5001968,CCCCCCCCCC000000000000,good
5001970,0000000000000000000000000000000000,good
5001976,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001982,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0X,good
5001983,000000000000000000000000000000000000000000000000000,good
5001986,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000,good
5001987,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000,good
5001988,CCCCC0000X0X0X00XX000X000XX0X0X001000000X0XX0XX000000,moderate
5001989,00000XX00X0X00X0XX000X0000X0X0X00X000000XXX00X00X00X,good
5001990,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00X,good
5001991,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000,good
5001993,XXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001994,XXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001995,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001996,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001997,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5001998,00XXX0X0X0XXXX0XX0X0X,good
5001999,CCCCCCCCCCCCCCCCC00000X00,good
5002000,CCCCCCCCCCC0X00XX000X000X0X0XX,good
5002001,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000,good
5002002,00000000X0X0X00XX000XX,good
5002003,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000X,good
5002004,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0X0,good
5002005,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00,good
5002006,CCCCCCCCCCXXXXXXXXXXX00000,good
5002007,CCCCCCCCCCCCCCCCCCCCC0X,good
5002008,CCCCCCCCCCCCCCCCC00000000000000000X,good
5002009,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000000000XXXXXX,good
5002010,CC000000000000,good
5002011,0000000000000000000000000,good
5002012,CCCCCCCCCCCCCC00000000000,good
5002013,CCCCCCCCCCCCCCCCCCCCCCCCCCC00000,good
5002015,00000000000000000000000000XX0000XXX,good
5002016,CCCCCCC000000,good
5002018,XXXXXXXX,good
5002019,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000000,good
5002020,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
5002021,CCCCCCC00XX00XX,good
5002022,CCCCCCCCCCCCCCCCCC00X0X,good
5002023,XXXX00000XX00X0X0X00XX,good
5002024,XXXXXXXXXX00,good
5002025,CCCCCCC00000,good
5002026,00000X00XXXX0X0X0X00XX00X0X0XXX0XXX000X0X0X0XXXXX0X00X,good
5002028,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000X,good
5002029,X000000000,good
5002030,000000000X,good
5002031,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000000,good
5002032,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,good
